date,close,high,low
2021-06-20,9797.91,9865.66,9769.18
2021-06-21,10061.58,10061.66,9797.91
2021-06-22,10206.24,10206.24,10061.58
2021-06-23,10272.72,10311.94,10206.24
2021-06-24,10278.86,10285.49,10244.79
2021-06-27,10305.02,10305.14,10278.86
2021-06-28,10273.92,10325.92,10261.2
2021-06-29,10123.06,10273.92,10094.17
2021-06-30,10256.62,10262.18,10122.86
2021-07-04,10345.66,10346.14,10256.62
2021-07-05,10348.29,10386.82,10345.66
2021-07-06,10154.79,10348.29,10147.51
2021-07-07,10277.25,10280.0,10154.79
2021-07-08,10184.8,10279.29,10184.8
2021-07-11,10153.47,10190.06,10152.52
2021-07-12,10233.7,10233.88,10153.43
2021-07-13,10431.99,10431.99,10233.7
2021-07-14,10602.41,10625.3,10431.99
2021-07-15,10561.28,10609.43,10549.57
2021-07-18,10646.85,10648.73,10561.28
2021-07-25,10745.69,10757.09,10646.85
2021-07-26,10697.32,10755.74,10685.63
2021-07-27,10763.26,10763.75,10697.32
2021-07-28,10769.22,10795.08,10723.59
2021-07-29,10742.23,10837.21,10742.23
2021-08-01,10810.21,10812.34,10739.59
2021-08-02,10821.88,10874.58,10808.7
2021-08-03,10726.33,10821.88,10726.33
2021-08-04,10718.89,10734.68,10688.35
2021-08-05,10723.18,10756.32,10718.89
2021-08-08,10738.67,10750.16,10723.18
2021-08-09,10800.39,10808.25,10738.67
2021-08-10,10853.83,10870.81,10799.26
2021-08-11,10884.5,10887.67,10852.5
2021-08-15,11029.56,11061.35,10884.5
2021-08-16,11046.15,11145.36,11029.56
2021-08-17,10937.69,11061.94,10935.98
2021-08-18,10907.96,10955.0,10906.02
2021-08-19,10808.7,10907.96,10808.7
2021-08-22,10690.79,10815.51,10686.4
2021-08-23,10884.29,10884.47,10683.25
2021-08-24,10950.24,10953.59,10884.29
2021-08-25,11064.43,11072.9,10950.24
2021-08-26,11125.55,11160.43,11064.43
2021-08-29,11113.74,11125.55,11043.74
2021-08-30,11163.23,11198.14,11113.74
2021-08-31,11143.8,11191.62,11129.94
2021-09-01,11283.7,11283.7,11143.58
2021-09-02,11301.36,11321.95,11283.7
2021-09-05,11095.89,11301.36,11090.75
2021-09-06,11064.17,11114.2,10954.98
2021-09-07,11089.8,11122.51,11002.99
2021-09-08,11135.48,11149.75,11085.37
2021-09-09,11056.27,11137.06,11041.82
2021-09-12,11036.93,11083.93,11022.74
2021-09-13,11140.22,11140.22,11036.93
2021-09-14,11187.82,11206.47,11139.99
2021-09-15,11149.36,11239.72,11117.08
2021-09-16,10996.76,11182.23,10996.76
2021-09-19,10889.65,11098.53,10878.9
2021-09-20,10710.56,10889.65,10693.65
2021-09-21,10498.52,10711.09,10453.19
2021-09-22,10596.06,10609.29,10498.52
2021-09-23,10642.02,10683.18,10596.06
2021-09-26,10649.76,10704.25,10621.45
2021-09-27,10496.0,10652.15,10496.0
2021-09-28,10446.78,10499.86,10424.3
2021-09-29,10391.14,10463.52,10345.4
2021-09-30,10517.03,10517.03,10281.73
2021-10-03,10366.44,10575.73,10366.44
2021-10-04,10427.44,10437.66,10366.14
2021-10-05,10432.63,10471.44,10412.07
2021-10-06,10536.39,10536.39,10432.63
2021-10-10,10662.96,10671.43,10536.39
2021-10-11,10714.78,10739.78,10662.96
2021-10-12,10783.92,10798.69,10697.59
2021-10-13,10881.4,10881.4,10783.92
2021-10-14,10995.59,11018.18,10881.06
2021-10-17,11155.57,11155.57,10995.59
2021-10-18,11276.17,11303.24,11134.84
2021-10-19,11195.05,11358.43,11189.4
2021-10-20,11132.07,11227.73,11061.56
2021-10-24,11185.88,11238.34,11132.07
2021-10-25,11178.0,11229.45,11096.53
2021-10-26,11256.54,11468.14,11178.0
2021-10-27,11364.2,11385.83,11254.28
2021-10-28,11506.63,11506.63,11361.26
2021-10-31,11420.19,11506.63,11362.54
2021-11-01,11568.27,11570.33,11420.19
2021-11-02,11676.38,11676.38,11545.11
2021-11-03,11685.12,11730.33,11609.43
2021-11-04,11612.84,11685.17,11474.71
2021-11-07,11555.58,11617.12,11514.07
2021-11-08,11497.51,11563.2,11468.19
2021-11-09,11588.42,11588.42,11483.43
2021-11-10,11480.5,11601.14,11372.69
2021-11-11,11573.14,11602.8,11480.5
2021-11-14,11662.99,11662.99,11529.8
2021-11-15,11496.63,11663.93,11475.48
2021-11-16,11413.21,11501.49,11404.03
2021-11-17,11453.3,11511.2,11391.18
2021-11-18,11337.99,11480.78,11310.59
2021-11-21,11273.11,11419.84,11273.11
2021-11-22,11359.03,11369.35,11255.51
2021-11-23,11369.22,11432.25,11352.04
2021-11-24,11352.64,11372.54,11291.38
2021-11-25,11431.24,11451.3,11338.48
2021-11-28,11277.83,11431.24,11218.33
2021-11-29,11212.3,11277.83,11202.09
2021-11-30,11395.6,11395.6,11179.29
2021-12-01,11420.0,11442.57,11330.15
2021-12-02,11318.35,11440.37,11293.62
2021-12-05,11401.33,11401.33,11316.25
2021-12-06,11514.87,11514.87,11385.81
2021-12-07,11538.26,11631.01,11466.4
2021-12-08,11451.14,11552.73,11391.39
2021-12-09,11534.63,11545.47,11451.14
2021-12-12,11708.05,11708.05,11520.01
2021-12-13,11700.4,11765.63,11700.4
2021-12-14,11618.01,11728.17,11613.3
2021-12-15,11622.1,11665.49,11590.25
2021-12-16,11667.73,11738.82,11622.1
2021-12-19,11565.72,11684.57,11549.28
2021-12-20,11482.43,11570.86,11440.2
2021-12-21,11524.66,11608.86,11482.43
2021-12-22,11630.63,11636.71,11524.65
2021-12-23,11755.46,11776.26,11630.63
2021-12-26,11856.21,11906.26,11755.46
2021-12-27,11849.79,11922.68,11834.0
2021-12-28,11913.44,11913.44,11840.1
2021-12-29,11898.42,11950.34,11895.53
2021-12-30,11949.18,11949.18,11857.97
2022-01-02,11909.72,12017.44,11907.75
2022-01-03,11897.4,11916.0,11870.47
2022-01-04,11982.61,11984.21,11897.15
2022-01-05,12043.42,12069.23,11981.25
2022-01-09,11978.56,12044.78,11958.61
2022-01-10,12022.69,12040.33,11978.56
2022-01-11,12002.08,12047.33,11979.2
2022-01-12,12060.0,12065.14,12002.08
2022-01-13,12012.31,12063.94,11978.78
2022-01-16,11830.94,12012.73,11820.16
2022-01-17,11859.12,11871.77,11807.43
2022-01-18,11876.44,11876.44,11805.42
2022-01-19,11715.01,11882.29,11693.56
2022-01-20,11731.71,11731.71,11608.63
2022-01-23,11655.72,11731.71,11584.5
2022-01-24,11616.13,11671.21,11608.89
2022-01-25,11542.43,11624.5,11516.91
2022-01-26,11499.85,11562.02,11496.68
2022-01-30,11457.46,11514.27,11457.46
2022-01-31,11490.45,11513.7,11420.47
2022-02-01,11603.33,11603.33,11490.45
2022-02-02,11691.82,11691.82,11603.33
2022-02-03,11638.06,11720.71,11618.62
2022-02-06,11689.55,11689.55,11637.92
2022-02-07,11548.61,11708.02,11524.25
2022-02-08,11527.9,11575.82,11523.67
2022-02-09,11596.29,11703.67,11527.9
2022-02-10,11578.54,11615.84,11548.99
2022-02-13,11438.12,11589.04,11418.92
2022-02-14,11403.34,11438.12,11320.24
2022-02-15,11563.38,11563.38,11402.38
2022-02-16,11568.14,11627.44,11523.64
2022-02-17,11535.02,11568.14,11497.51
2022-02-20,11371.21,11535.37,11371.06
2022-02-21,11501.92,11506.69,11370.47
2022-02-22,11302.49,11501.92,11256.96
2022-02-23,11301.08,11349.82,11294.91
2022-02-24,10890.88,11301.08,10841.98
2022-02-27,11174.09,11174.09,10890.88
2022-02-28,11138.86,11176.22,11094.32
2022-03-01,11275.78,11297.56,11138.86
2022-03-02,11189.29,11291.44,11189.29
2022-03-03,11305.55,11305.55,11189.29
2022-03-06,11094.66,11305.55,11087.96
2022-03-07,10701.14,11095.68,10691.68
2022-03-08,10396.83,10701.14,10357.72
2022-03-09,10415.73,10485.58,10395.13
2022-03-10,10453.59,10453.59,10332.19
2022-03-13,10480.67,10550.69,10453.59
2022-03-14,10419.56,10480.67,10361.17
2022-03-15,10423.09,10423.09,10285.09
2022-03-16,10705.6,10719.92,10423.09
2022-03-17,10726.44,10804.73,10675.27
2022-03-20,10973.72,10973.72,10726.44
2022-03-21,11511.15,11511.15,10973.72
2022-03-22,11663.32,11977.24,11511.15
2022-03-23,11743.91,11743.91,11586.76
2022-03-24,11709.16,11810.02,11704.33
2022-03-27,11545.61,11709.16,11465.63
2022-03-28,11240.79,11592.54,11240.79
2022-03-29,11393.54,11393.54,11151.12
2022-03-30,11239.21,11456.0,11239.21
2022-03-31,11238.48,11239.21,11123.13
2022-04-03,11562.21,11562.21,11238.48
2022-04-04,11529.18,11563.18,11512.07
2022-04-05,11380.85,11545.14,11375.44
2022-04-06,11347.96,11417.95,11319.85
2022-04-07,11101.94,11359.56,11091.16
2022-04-10,10897.61,11101.94,10872.94
2022-04-11,10728.66,10899.36,10715.53
2022-04-12,10898.69,10942.09,10728.66
2022-04-13,10847.46,10936.21,10847.46
2022-04-14,10679.55,10847.46,10614.24
2022-04-17,10707.93,10848.01,10642.3
2022-04-18,10724.8,10724.8,10580.1
2022-04-19,10626.81,10724.8,10566.93
2022-04-20,10444.76,10626.81,10441.52
2022-04-21,10548.14,10580.74,10443.92
2022-04-26,10682.08,10682.08,10529.49
2022-04-27,10718.22,10772.46,10681.02
2022-04-28,11047.7,11055.9,10717.49
2022-05-08,11109.22,11114.74,10949.65
2022-05-09,10906.72,11177.27,10906.72
2022-05-10,10811.45,10906.72,10778.0
2022-05-11,10855.93,10925.99,10810.15
2022-05-12,10678.98,10855.93,10602.41
2022-05-15,10534.22,10743.98,10534.22
2022-05-16,10461.88,10537.91,10391.52
2022-05-17,10438.95,10571.63,10438.95
2022-05-18,10467.63,10488.43,10433.96
2022-05-19,10549.97,10549.97,10345.71
2022-05-22,10462.74,10571.66,10462.74
2022-05-23,10514.95,10560.22,10462.74
2022-05-24,10415.54,10546.68,10374.76
2022-05-25,10247.43,10448.31,10247.43
2022-05-26,10200.56,10263.22,10155.46
2022-05-29,10086.72,10202.59,10077.72
2022-05-30,10109.36,10170.71,10057.64
2022-05-31,10150.05,10260.08,10109.36
2022-06-01,10083.98,10204.49,10041.18
2022-06-02,10007.51,10097.21,9990.46
2022-06-05,9986.0,10030.32,9971.71
2022-06-06,9984.92,9994.77,9957.2
2022-06-07,10048.36,10048.36,9974.26
2022-06-08,10236.06,10249.86,10048.36
2022-06-09,10235.43,10266.68,10158.07
